0:0:0:0:0:0:0:1 - - [28/Jul/2019:08:49:51 +0200] "GET /RMIServer/WEB-INF/classes/org/unibl/etf/rmi/FilesServer.java HTTP/1.1" 404 1161
127.0.0.1 - - [28/Jul/2019:09:36:21 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:09:38:28 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1711
127.0.0.1 - - [28/Jul/2019:09:38:28 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:09:39:31 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:09:44:40 +0200] "POST /RestServer/api/users/login HTTP/1.1" 500 20
127.0.0.1 - - [28/Jul/2019:09:44:45 +0200] "POST /RestServer/api/users/login HTTP/1.1" 500 20
127.0.0.1 - - [28/Jul/2019:09:44:54 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1784
127.0.0.1 - - [28/Jul/2019:09:44:54 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:09:45:36 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:09:46:46 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:09:47:27 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1857
127.0.0.1 - - [28/Jul/2019:09:47:27 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:09:53:24 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:09:53:25 +0200] "POST /SoapServer/services/AdminService HTTP/1.0" 200 291
127.0.0.1 - - [28/Jul/2019:09:53:25 +0200] "POST /SoapServer/services/AdminService HTTP/1.0" 200 5482
127.0.0.1 - - [28/Jul/2019:09:54:12 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:09:56:40 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1930
127.0.0.1 - - [28/Jul/2019:09:56:40 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:09:59:23 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1930
127.0.0.1 - - [28/Jul/2019:09:59:23 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:09:59:56 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:10:00:03 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:10:00:49 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2003
127.0.0.1 - - [28/Jul/2019:10:00:49 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:10:02:02 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:10:02:42 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:10:04:58 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 981
127.0.0.1 - - [28/Jul/2019:10:04:58 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:10:24:31 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:10:24:40 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:10:24:40 +0200] "GET /RestServer/api/users/a.b HTTP/1.1" 200 2
127.0.0.1 - - [28/Jul/2019:10:24:43 +0200] "GET /RestServer/api/users/username0 HTTP/1.1" 200 1197
127.0.0.1 - - [28/Jul/2019:10:24:53 +0200] "GET /RestServer/api/users/username1 HTTP/1.1" 200 553
127.0.0.1 - - [28/Jul/2019:10:24:55 +0200] "GET /RestServer/api/users/username2 HTTP/1.1" 200 415
127.0.0.1 - - [28/Jul/2019:10:26:02 +0200] "GET /RestServer/api/users/username0 HTTP/1.1" 200 1197
127.0.0.1 - - [28/Jul/2019:11:14:41 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2076
127.0.0.1 - - [28/Jul/2019:11:14:42 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:15:11 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:15:28 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:11:16:09 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2149
127.0.0.1 - - [28/Jul/2019:11:16:09 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:18:45 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:19:47 +0200] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [28/Jul/2019:11:20:22 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1054
127.0.0.1 - - [28/Jul/2019:11:20:22 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:21:17 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:23:45 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1127
127.0.0.1 - - [28/Jul/2019:11:23:45 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:25:04 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:31:55 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2222
127.0.0.1 - - [28/Jul/2019:11:31:55 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:32:43 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:34:09 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2295
127.0.0.1 - - [28/Jul/2019:11:34:09 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:34:54 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:35:03 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1200
127.0.0.1 - - [28/Jul/2019:11:35:03 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:35:47 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:36:52 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1273
127.0.0.1 - - [28/Jul/2019:11:36:52 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:42:38 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 1273
127.0.0.1 - - [28/Jul/2019:11:42:38 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:42:56 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:44:51 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:47:14 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 835
127.0.0.1 - - [28/Jul/2019:11:47:14 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:47:50 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:11:48:57 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 543
127.0.0.1 - - [28/Jul/2019:11:48:57 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
127.0.0.1 - - [28/Jul/2019:11:55:01 +0200] "POST /RestServer/api/users/logout HTTP/1.1" 200 -
127.0.0.1 - - [28/Jul/2019:12:00:16 +0200] "POST /RestServer/api/users/login HTTP/1.1" 200 2368
127.0.0.1 - - [28/Jul/2019:12:00:16 +0200] "GET /RestServer/api/users HTTP/1.1" 200 1193
